brcode,tran_type,d_date,tran_month,item_code,qty,day,month,year,quarter,week,day_type
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,298416,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,323007,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,228187,10,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,203999,20,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,298416,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,324411,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,6,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,310183,299,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233384,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,12,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,298416,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
109,Sale,2016-04-03,April,208501,1,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,201975,8,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,323007,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,201975,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,228187,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,298416,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,208501,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,310183,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,324411,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,233384,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,206115,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,206115,1,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,201975,4,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,208501,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,324411,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,206115,3,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,208501,5,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,208501,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,326899,7,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,298416,1,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,298416,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,233384,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,310183,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,201975,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,6,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,202470,1,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,202470,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,202470,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,298416,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,208501,3,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,208501,3,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,202470,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,10,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,324411,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,298416,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,4,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,228187,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,323007,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,203999,5,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,208501,2,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,201975,4,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,228187,2,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,202470,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,319048,4,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,233539,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,324411,2,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,233539,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,324411,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,206115,5,3,4,2016,1,14,weekend
3,Sale,2016-04-03,April,298416,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,298416,2,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,310183,1,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,228187,3,3,4,2016,1,14,weekend
109,Sale,2016-04-03,April,310183,1,3,4,2016,1,14,weekend
3,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,201975,12,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,298416,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,2,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,6,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,4,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,2,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,203999,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
